 n,frequency
  2,0.00267
  3,0.00822
  4,0.01636
  5,0.02687
  6,0.04069
  7,0.05589
  8,0.07461
  9,0.09486
 10,0.11715
 11,0.14134
 12,0.16672
 13,0.19459
 14,0.22291
 15,0.25290
 16,0.28306
 17,0.31512
 18,0.34630
 19,0.37962
 20,0.41164
 21,0.44418
 22,0.47571
 23,0.50818
 24,0.53855
 25,0.56819
 26,0.59871
 27,0.62698
 28,0.65440
 29,0.68032
 30,0.70660
 31,0.73090
 32,0.75348
 33,0.77460
 34,0.79497
 35,0.81501
 36,0.83250
 37,0.84925
 38,0.86449
 39,0.87801
 40,0.89088
 41,0.90337
 42,0.91415
 43,0.92365
 44,0.93287
 45,0.94117
 46,0.94863
 47,0.95477
 48,0.96058
 49,0.96549
 50,0.97019
 51,0.97452
 52,0.97806
 53,0.98113
 54,0.98363
 55,0.98623
 56,0.98829
 57,0.99023
 58,0.99166
 59,0.99317
 60,0.99405
 61,0.99502
 62,0.99584
 63,0.99660
 64,0.99717
 65,0.99765
 66,0.99822
 67,0.99850
 68,0.99870
 69,0.99890
 70,0.99920
 71,0.99929
 72,0.99947
 73,0.99958
 74,0.99964
 75,0.99975
 76,0.99981
 77,0.99983
 78,0.99985
 79,0.99989
 80,0.99991
 81,0.99993
 82,0.99995
 83,0.99997
 84,0.99995
 85,0.99998
 86,0.99998
 87,0.99998
 88,0.99999
 89,1.00000
 90,0.99999
 91,1.00000
 92,1.00000
 93,1.00000
 94,1.00000
 95,1.00000
 96,1.00000
 97,1.00000
 98,1.00000
 99,1.00000
100,1.00000
